 M  214yg7_b/(AC)n 
 M  280we5_b/(AC)n 
 M  344we9/(AC)n 
 M  b355zh5/(AC)n 
 M  147yf8/(AC)n 
 M  a128ye9/(AC)n 
 M  220yf4/(AC)n 
 M  247te9/(AC)n 
 M  a224wg9/(AC)n 
 M  b067xh5/(AC)n 
 M  217yh8/(AC)n 
 M  309ve9/(AC)n 
 M  TNFR2_pr2/(AC)n 
 M  196xb4_b/(AC)n 
 M  b007wb1/(AC)n 
 M  a232zb9/(AC)n 
 M  b032ze1/(AC)n 
 M  a127zc9/(AC)n 
 M  217zc3/(AC)n 
 M  a153xe9/(AC)n 
 M  290vb9_b/(AC)n 
 M  a048yh1/(AC)n 
 M  200yf12_t/(AC)n 
 M  a065wd5/(AC)n 
 M  199zd2/(AC)n 
 M  260zg5/(AC)n 
 M  b077wg9/(AC)n 
 M  057xf4/(AC)n 
 M  122xe1/(AC)n 
 M  b359wd1/(AC)n 
 M  192xg3/(AC)n 
 M  093xf3/(AC)n 
 M  a082wb5/(AC)n 
 M  288zg1/(AC)n 
 M  220yc7/(AC)n 
 M  161xb2_b/(AC)n 
 M  a102wf9/(AC)n 
 M  b314yc1/(AC)n 
 M  a056xc9/(AC)n 
 M  210vc9/(AC)n 
 M  116xb2/(AC)n 
 M  c008yc5/(AC)n 
 M  b320yf1/(AC)n 
 M  217zb2/(AC)n 
 M  205ta11/(AC)n 
 M  b324yg5/(AC)n 
 M  113xf6_b/(AC)n 
 M  b338wd9/(AC)n 
 M  a296we9/(AC)n 
 M  197yg1/(AC)n 
 M  249zg9/(AC)n 
 M  336xb1/(AC)n 
 M  220xf8/(AC)n 
 M  b009zb9/(AC)n 
 M  297wb9_b/(AC)n 
 M  344va9/(AC)n 
 M  a057ze5/(AC)n 
 M  b316zb9/(AC)n 
 M  212xf6_b/(AC)n 
 M  a197wg1/(AC)n 
 M  248wg5/(AC)n 
 M  b352xe9/(AC)n 
 M  b350xa5/(AC)n 
 M  a143wd5/(AC)n 
 M  275xe1/(AC)n 
 M  348tg1/(AC)n 
 M  205xg1_t/(AC)n 
 M  200ve3/(AC)n 
 M  031xd12/(AC)n 
 M  a116wg1/(AC)n 
 M  312yb5/(AC)n 
 M  224xc1/(AC)n 
 M  a303wh5/(AC)n 
 M  297xc1/(AC)n 
 M  196xh4/(AC)n 
 M  a058xg9/(AC)n 
 M  147xf8/(AC)n 
 M  248ya5_b/(AC)n 
 M  119yh10/(AC)n 
 M  b360zg1/(AC)n 
 M  203yg9_b/(AC)n 
 M  088xe5/(AC)n 
 M  a230wh1/(AC)n 
 M  b349xb9/(AC)n 
 M  116xf8_b/(AC)n 
 M  337zf5/(AC)n 
 M  c013wc9/(AC)n 
 M  042xe3/(AC)n 
 M  323zh1/(AC)n 
 M  b283zh5/(AC)n 
 M  a101wc1/(AC)n 
 M  a130yg9/(AC)n 
 M  269xd9_b/(AC)n 
 M  225zg5/(AC)n 
 M  240vf6_b/(AC)n 
 M  155yd2_t/(AC)n 
 M  200yg11/(AC)n 
 M  338yc1/(AC)n 
 M  331zg5_b/(AC)n 
 M  a108yf1/(AC)n 
 M  a301xc1/(AC)n 
 M  303yc1/(AC)n 
 M  296vg9/(AC)n 
 M  303ze1/(AC)n 
 M  267zc9_b/(AC)n 
 M  c014yc1/(AC)n 
 M  205zb4/(AC)n 
 M  a153yb1/(AC)n 
 M  337yh5/(AC)n 
 M  093xh3_b/(AC)n 
 M  a113zg9/(AC)n 
 M  348tf1/(AC)n 
 M  321xd9_b/(AC)n 
 M  297xh5/(AC)n 
 M  a296xc5/(AC)n 
 M  200xb2_b/(AC)n 
 M  b070ze1/(AC)n 
 M  240vh12/(AC)n 
 M  177xh4_b/(AC)n 
 M  161yh10/(AC)n 
 M  c025yh5/(AC)n 
 M  a126zb1/(AC)n 
 M  a341xh1/(AC)n 
 M  333vh5/(AC)n 
 M  a115za5/(AC)n 
 M  a190zd1/(AC)n 
 M  a286zb5/(AC)n 
 M  b277ze1/(AC)n 
 M  a046ya9/(AC)n 
 M  277wc9/(AC)n 
 M  022tc1/(AC)n 
 M  b007wc5/(AC)n 
 M  220ze3_b/(AC)n 
 M  a041xc1/(AC)n 
 M  b285xf9/(AC)n 
 M  087xa1/(AC)n 
 M  a037xf1/(AC)n 
 M  234te1/(AC)n 
 M  303wc5/(AC)n 
 M  b039zh1/(AC)n 
 M  323wc5_b/(AC)n 
 M  a286xg1/(AC)n 
 M  205xd4/(AC)n 
 M  032xg5/(AC)n 
 M  304ta9_b/(AC)n 
 M  143xe11/(AC)n 
 M  a348wh1/(AC)n 
 M  b297ze9/(AC)n 
 M  b331yf1/(AC)n 
 M  183xc3/(AC)n 
 M  192yd2/(AC)n 
 M  211yd6/(AC)n 
 M  321zf9/(AC)n 
 M  266ve1_t/(AC)n 
 M  a203ye5/(AC)n 
 M  b072wg1/(AC)n 
 M  303ya9_b/(AC)n 
 M  207xg1_t/(AC)n 
 M  333wf9/(AC)n 
 M  c005wb9/(AC)n 
 M  a100zh5/(AC)n 
 M  064xh7_b/(AC)n 
 M  CTLA_4/(AC)n 
 M  b316zc5/(AC)n 
 M  304tb5/(AC)n 
 M  212ze9/(AC)n 
