"","CHR","MARKER","POS","LOD","0","0.05","0.1","0.15","0.2","0.25","0.3","0.4","0.5"
"1",1,"M1",1,7.67380003495549,7.67380003495549,7.03545334536211,6.36558081146693,5.66104670816714,4.9182543440563,4.13329678705518,3.30287525354979,1.52895852247737,0
"2",1,"M2",2,7.24741090769595,7.24741090769595,6.65362581921649,6.03079077968624,5.37615138250632,4.68658036318128,3.95864162605583,3.1890346438699,1.53036690185171,0
"3",1,"M3",3,4.76269337758742,4.76269337758742,4.3099836954243,3.84848407511618,3.37110727275154,2.8717356983657,2.34642785810804,1.79560967316271,0.682811044056244,0
"4",1,"M4",4,8.17121911840422,8.17121911840422,7.51166392367941,6.81943725931639,6.09124213344592,5.32325474788211,4.51113492130208,3.6504047083198,1.7823548510485,0
"5",1,"M5",5,6.00504431757027,6.00504431757027,5.46060322787962,4.88981883387663,4.29037211497236,3.65997086941177,2.99685317377148,2.30123707959448,0.864360545499508,0
"6",1,"M6",6,4.96987246148488,4.96987246148488,4.55535720212409,4.12143885626488,3.6664464064925,3.18875954282604,2.68732809241198,2.16284427761258,1.06924553589076,0
"7",1,"M7",7,5.71413232478198,5.71413232478198,5.17422757220857,4.60835123055054,4.01415964679012,3.38941208551098,2.73277814982506,2.04624545482148,0.669406220788375,0
"8",1,"M8",8,5.25507438786452,5.25507438786452,4.74997318572871,4.22719630044045,3.68328924775363,3.11514780991255,2.52133288257155,1.9051122932107,0.692381066377287,0
"9",1,"M9",9,4.25373526112127,4.25373526112127,3.8555847904062,3.44244041985519,3.01369546720363,2.56884418516463,2.10776161605182,1.63170126921937,0.67346221769737,0
"10",1,"M10",10,3.56432182132441,3.56432182132441,3.25237343669706,2.9319107944774,2.60297040809382,2.26549172732047,1.91919946888272,1.56342178516967,0.817007258061643,0
"11",1,"M11",11,3.57087778275891,0.287406133079983,3.57087778275891,3.4368452808538,3.15686956897716,2.80324295014065,2.39828557544401,1.95330741984036,0.98673545715895,0
"12",1,"M12",12,4.28545384839574,1.06194522096639,4.28545384839574,4.08835121662448,3.74188305197716,3.31809452473676,2.83922075779741,2.31672391040723,1.18428301317896,0
"13",1,"M13",13,2.38595838626794,-32.1732678851512,2.15906213175118,2.38595838626794,2.34275040474859,2.17572029163436,1.93014415797465,1.62621130818876,0.884744061756301,0
